timestamp,cpu_total_pct,mem_avail_mb,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_power_w,gpu_temp_c,gpu_clock_graphics_mhz,gpu_clock_sm_mhz
"2026-03-16T16:42:40.8888705-03:00","26,7574992919378","23270","0","3","789","12282","4.69","39","210","210"
"2026-03-16T16:42:43.4550183-03:00","25,4093224238006","23295","0","3","789","12282","4.66","39","210","210"
"2026-03-16T16:42:46.0090564-03:00","40,2815959136871","23271","0","2","789","12282","5.06","39","210","210"
"2026-03-16T16:42:48.5902745-03:00","47,5708832891373","23269","0","3","785","12282","4.92","39","210","210"
"2026-03-16T16:42:51.1752749-03:00","50,6208915968164","23269","0","3","785","12282","4.67","39","210","210"
"2026-03-16T16:42:53.7438348-03:00","49,7345132918894","23266","0","3","785","12282","4.66","39","210","210"
"2026-03-16T16:42:56.3099440-03:00","52,1020267383004","23272","0","0","790","12282","4.80","39","210","210"
"2026-03-16T16:42:58.8787969-03:00","50,5746696702146","23268","0","3","790","12282","4.86","39","210","210"
"2026-03-16T16:43:01.4399249-03:00","50,6537503008008","23269","0","6","790","12282","4.74","39","210","210"
"2026-03-16T16:43:04.0070374-03:00","51,8059330515632","23271","0","7","790","12282","4.70","39","210","210"
"2026-03-16T16:43:06.5679018-03:00","50,4658145267717","23269","0","3","790","12282","4.71","39","210","210"
"2026-03-16T16:43:09.1330830-03:00","50,9790828534238","23267","0","3","790","12282","4.75","39","210","210"
"2026-03-16T16:43:11.6842289-03:00","50,4849664950822","23265","0","5","790","12282","4.77","39","210","210"
"2026-03-16T16:43:14.2553684-03:00","53,0768532786604","23473","0","3","789","12282","4.72","39","210","210"
"2026-03-16T16:43:16.8240364-03:00","100","23257","0","3","789","12282","4.87","39","210","210"
"2026-03-16T16:43:19.5724481-03:00","100","23252","0","3","789","12282","4.69","39","210","210"
"2026-03-16T16:43:22.1898237-03:00","100","23249","0","3","789","12282","4.67","39","210","210"
"2026-03-16T16:43:24.8245294-03:00","100","23248","0","3","789","12282","4.68","39","210","210"
"2026-03-16T16:43:27.4596472-03:00","52,6542249152306","23323","0","0","788","12282","68.53","41","2775","2775"
"2026-03-16T16:43:30.0475260-03:00","8,28283691803335","23313","0","0","788","12282","24.01","40","465","465"
"2026-03-16T16:43:32.5960749-03:00","8,78886939605009","23313","0","0","788","12282","15.12","40","225","225"
"2026-03-16T16:43:35.1456119-03:00","7,92861545280157","23312","0","1","788","12282","5.86","39","210","210"
"2026-03-16T16:43:37.7049141-03:00","8,47849884734762","23314","0","7","788","12282","4.67","39","210","210"
"2026-03-16T16:43:40.2770894-03:00","7,39946288157804","23311","0","6","788","12282","4.65","39","210","210"
"2026-03-16T16:43:42.8308042-03:00","8,10053311997572","23337","0","8","788","12282","4.67","39","210","210"
"2026-03-16T16:43:45.3863291-03:00","6,96271214362377","23337","0","4","788","12282","4.67","39","210","210"
"2026-03-16T16:43:47.9434032-03:00","6,07238788361419","23333","0","4","788","12282","4.61","39","210","210"
